id,type,cover,start_date,end_date,region
cups:/dates/Q99/1.01,GrowthSchedule,cups:1.01,--06-20,--07-20,wd:Q99
cups:/dates/Q99/1.02,GrowthSchedule,cups:1.02,--07-01,--05-01,wd:Q99
cups:/dates/Q99/1.03,GrowthSchedule,cups:1.03,--01-01,--12-31,wd:Q99
cups:/dates/Q99/1.04,GrowthSchedule,cups:1.04,--11-01,--05-31,wd:Q99
cups:/dates/Q99/1.05,GrowthSchedule,cups:1.05,--06-15,--09-30,wd:Q99
cups:/dates/Q99/1.06,GrowthSchedule,cups:1.06,--06-15,--09-30,wd:Q99
cups:/dates/Q99/1.07,GrowthSchedule,cups:1.07,--03-01,--05-31,wd:Q99
cups:/dates/Q99/1.08,GrowthSchedule,cups:1.08,--03-20,--09-20,wd:Q99
cups:/dates/Q99/1.09,GrowthSchedule,cups:1.09,--06-15,--03-15,wd:Q99
cups:/dates/Q99/1.1,GrowthSchedule,cups:1.1,--03-15,--07-01,wd:Q99
cups:/dates/Q99/1.11,GrowthSchedule,cups:1.11,--08-01,--11-15,wd:Q99
cups:/dates/Q99/1.12,GrowthSchedule,cups:1.12,--01-15,--05-15,wd:Q99
cups:/dates/Q99/1.13,GrowthSchedule,cups:1.13,--09-15,--01-15,wd:Q99
cups:/dates/Q99/1.14,GrowthSchedule,cups:1.14,--05-01,--09-30,wd:Q99
cups:/dates/Q99/1.15,GrowthSchedule,cups:1.15,--05-01,--08-15,wd:Q99
cups:/dates/Q99/1.16,GrowthSchedule,cups:1.16,--05-15,--10-15,wd:Q99
cups:/dates/Q99/1.17,GrowthSchedule,cups:1.17,--03-15,--06-15,wd:Q99
cups:/dates/Q99/1.18,GrowthSchedule,cups:1.18,--04-01,--11-15,wd:Q99
cups:/dates/Q99/1.19,GrowthSchedule,cups:1.19,--04-01,--07-31,wd:Q99
cups:/dates/Q99/1.2,GrowthSchedule,cups:1.2,--11-01,--05-31,wd:Q99
cups:/dates/Q99/1.21,GrowthSchedule,cups:1.21,--11-01,--05-31,wd:Q99
cups:/dates/Q99/1.22,GrowthSchedule,cups:1.22,--10-25,--06-12,wd:Q99
cups:/dates/Q99/1.23,GrowthSchedule,cups:1.23,--06-15,--09-30,wd:Q99
cups:/dates/Q99/1.24,GrowthSchedule,cups:1.24,--03-15,--07-15,wd:Q99
cups:/dates/Q99/1.25,GrowthSchedule,cups:1.25,--04-01,--11-15,wd:Q99
cups:/dates/Q99/1.26,GrowthSchedule,cups:1.26,--11-01,--05-31,wd:Q99
cups:/dates/Q99/1.27,GrowthSchedule,cups:1.27,--08-01,--11-15,wd:Q99
cups:/dates/Q99/1.28,GrowthSchedule,cups:1.28,--11-01,--05-31,wd:Q99
cups:/dates/Q99/1.29,GrowthSchedule,cups:1.29,--03-01,--10-01,wd:Q99
cups:/dates/Q99/1.3,GrowthSchedule,cups:1.3,--03-01,--08-01,wd:Q99
cups:/dates/Q99/1.31,GrowthSchedule,cups:1.31,--03-01,--05-31,wd:Q99
cups:/dates/Q99/1.32,GrowthSchedule,cups:1.32,--03-01,--08-31,wd:Q99
cups:/dates/Q99/1.33,GrowthSchedule,cups:1.33,--05-15,--09-30,wd:Q99
cups:/dates/Q99/1.34,GrowthSchedule,cups:1.34,--04-01,--05-01,wd:Q99
cups:/dates/Q99/1.35,GrowthSchedule,cups:1.35,--04-15,--08-15,wd:Q99
cups:/dates/Q99/1.36,GrowthSchedule,cups:1.36,--04-01,--07-31,wd:Q99
